name	mod	context	context_source	default	live	english	russian
gui.xaero_instant_waypoint	xaerominimap	UNIVERSAL	assumed	key.keyboard.keypad.add	key.keyboard.keypad.add	Quick Waypoint	Быстрая метка
gui.xaero_map_zoom_in	xaeroworldmap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Zoom In (alternative)	
gui.xaero_map_zoom_out	xaeroworldmap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Zoom Out (alternative)	
gui.xaero_minimap_server_profiles	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Minimap Server Settings	
gui.xaero_minimap_settings	xaerominimap	UNIVERSAL	assumed	key.keyboard.y	key.keyboard.y	Minimap Settings	Настройки мини-карты
gui.xaero_new_waypoint	xaerominimap	UNIVERSAL	assumed	key.keyboard.o	key.keyboard.b	New Waypoint	Новая метка
gui.xaero_open_map	xaeroworldmap	UNIVERSAL	assumed	key.keyboard.m	key.keyboard.m	Open World Map	
gui.xaero_open_settings	xaeroworldmap	UNIVERSAL	assumed	key.keyboard.right.bracket	key.keyboard.right.bracket	Open Settings	
gui.xaero_quick_confirm	xaeroworldmap	UNIVERSAL	assumed	key.keyboard.right.shift	key.keyboard.right.shift	Quick Manual Confirmation	
gui.xaero_reverse_entity_radar	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Reverse Radar Render Order	Реверсивный радарный рендер
gui.xaero_switch_waypoint_set	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Switch Waypoint Set	Сменить набор меток
gui.xaero_toggle_dimension	xaeroworldmap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Dimension	
gui.xaero_toggle_entity_radar	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Entity Radar	Переключить радар сущностей
gui.xaero_toggle_grid	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Chunk Grid	Вкл/выкл сетку чанков
gui.xaero_toggle_light_overlay	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Light Overlay	Вкл/Выкл оверлей освещения
gui.xaero_toggle_manual_cave_mode	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Manual Cave Mode	Вкл/Выкл ручной режим пещеры
gui.xaero_toggle_map	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Minimap	Вкл/Выкл мини-карту
gui.xaero_toggle_map_waypoints	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle On-Map Waypoints	Вкл/Выкл метки на мини-карте
gui.xaero_toggle_pac_chunk_claims	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Chunk Claims	Отобразить чанки участков
gui.xaero_toggle_slime	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Slime Chunks	Вкл/выкл подсветку чанков слизней
gui.xaero_toggle_tracked_players_in_world	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Tracked Players In World	
gui.xaero_toggle_tracked_players_on_map	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Tracked Players On Map	
gui.xaero_toggle_waypoints	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle In-World Waypoints	Вкл/Выкл метки в мире
gui.xaero_waypoints_key	xaerominimap	UNIVERSAL	assumed	key.keyboard.u	key.keyboard.u	Open Waypoint Screen	Точки на карте
gui.xaero_world_map_server_settings	xaeroworldmap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Server Settings	
gui.xaero_zoom_in	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Zoom In Minimap	Приблизить мини-карту
gui.xaero_zoom_out	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Zoom Out Minimap	Отдалить мини-карту
iris.keybind.reload	iris	UNIVERSAL	assumed	key.keyboard.r	key.keyboard.r	Reload Shaders	Перезагрузить шейдеры
iris.keybind.shaderPackSelection	iris	UNIVERSAL	assumed	key.keyboard.o	key.keyboard.o	Shaderpack Selection Screen	Список наборов шейдеров
iris.keybind.toggleShaders	iris	UNIVERSAL	assumed	key.keyboard.k	key.keyboard.k	Toggle Shaders	Переключить шейдеры
iris.keybind.wireframe	iris	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Wireframe (SP only)	
justdirethings.key.toggle_tool	justdirethings	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Toggle Tool Abilities	Переключить способности инструмента
justdirethings.key.toolUI	justdirethings	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Tool Settings UI	Открыть настройки инструмента
key.actualladditions.crafting_stick_open.desc	actuallyadditions	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Open the Crafting Stick	
key.adhooks.main_hand.jumping	adhooks	UNIVERSAL	assumed		key.keyboard.space	Jump	
key.adhooks.main_hand.launching	adhooks	UNIVERSAL	assumed		key.mouse.left	Launch	
key.adhooks.main_hand.loosening	adhooks	UNIVERSAL	assumed		key.keyboard.left.control	Loosen	
key.adhooks.main_hand.pulling	adhooks	UNIVERSAL	assumed		key.mouse.left	Pull	
key.adhooks.main_hand.unhooking	adhooks	UNIVERSAL	assumed		key.keyboard.left.shift	Reel/Unhook	
key.adhooks.off_hand.jumping	adhooks	UNIVERSAL	assumed		key.keyboard.space	Jump	
key.adhooks.off_hand.launching	adhooks	UNIVERSAL	assumed		key.mouse.right	Launch	
key.adhooks.off_hand.loosening	adhooks	UNIVERSAL	assumed		key.keyboard.left.control	Loosen	
key.adhooks.off_hand.pulling	adhooks	UNIVERSAL	assumed		key.mouse.right	Pull	
key.adhooks.off_hand.unhooking	adhooks	UNIVERSAL	assumed		key.keyboard.left.shift	Reel/Unhook	
key.advanced_ae.pattern_encoder_action	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Advanced Pattern Encoder	Открытый усовершенствованный кодировщик шаблонов
key.advanced_ae.pick_craft	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Attempt crafting targeted block	Попытка создания целевого блока
key.advanced_ae.portable_workbench	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Portable Workbench	Открыть портативный верста
key.advanced_ae.quantum_armor_config	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Quantum Armor Configuration	Открыть конфигурацию квантовой брони
key.advanced_ae.quantum_auto_stock_upgrade	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Quantum Armor Auto Stock	Переключение режимов квантовой брони «Автозапас»
key.advanced_ae.quantum_magnet_upgrade	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Quantum Armor Magnet	Переключение режимов квантовой брони «Магнит»
key.advanced_ae.quantum_night_vision_upgrade	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Quantum Armor Night Vision	Переключение режимов квантовой брони «Ночное видение»
key.advancements	minecraft	UNIVERSAL	assumed	key.keyboard.l	key.keyboard.l		
key.ae2.ae2wtlib_magnet	ae2wtlib	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Magnet Card	Переключить магнитную карту
key.ae2.ae2wtlib_restock	ae2wtlib	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Restock	Переключить авто пополнение
key.ae2.ae2wtlib_stow	ae2wtlib	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Stow stack in hand into ME System	
key.ae2.mouse_wheel_item_modifier	ae2	IN_GAME	bytecode	key.keyboard.left.shift	key.keyboard.left.shift	Modifier for Mouse-Wheel Items	Модификатор для предметов колёсика мыши
key.ae2.part_placement_opposite	ae2	IN_GAME	bytecode	key.keyboard.left.control	key.keyboard.left.control	Place Parts on Opposite Side	Поместите части на противоположную сторону
key.ae2.portable_fluid_cell	ae2	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Portable Fluid Cell	Открыть переносную жидкостную ячейку
key.ae2.portable_item_cell	ae2	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Portable Item Cell	Открыть переносную предметную ячейку
key.ae2.wireless_pattern_access_terminal	ae2wtlib	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Wireless Pattern Access Terminal	Открыть беспроводной терминал шаблонов
key.ae2.wireless_pattern_encoding_terminal	ae2wtlib	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Wireless Pattern Encoding Terminal	Открыть беспроводной терминал интерфейса
key.ae2.wireless_quantum_crafter_terminal	advanced_ae	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Wireless Quantum Crafter Terminal	Open Wireless Quantum Crafter Terminal
key.ae2.wireless_requester_terminal	merequester	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Wireless Requester Terminal	
key.ae2.wireless_terminal	ae2	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Wireless Terminal	Открыть беспроводной терминал
key.aether.gravitite_jump_ability.desc	aether	UNIVERSAL	assumed	key.keyboard.space	key.keyboard.space	Activate Gravitite Jump	Активировать Гравититовый прыжок
key.aether.invisibility_toggle.desc	aether	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Toggle Invisibility	Переключить невидимость
key.aether.open_accessories.desc	aether	UNIVERSAL	assumed	key.keyboard.i	key.keyboard.i	Open/Close Accessories Inventory	Откр/Закр инвентарь Аксессуаров
key.apotheosis.compare_equipment	apotheosis	UNIVERSAL	assumed	key.keyboard.left.shift	key.keyboard.left.shift	Compare Hovered Equipment	Сравнить экипировку под курсором
key.apotheosis.link_item_to_chat	apotheosis	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.t:SHIFT	Link Hovered Item to Chat	Отправить предмет под курсором в чат
key.apotheosis.open_world_tier_select	apotheosis	UNIVERSAL	assumed	key.keyboard.t:CONTROL	key.keyboard.t:CONTROL	Open World Tier Select	Открыть выбор уровня мира
key.apotheosis.toggle_radial_mining	apotheosis	UNIVERSAL	assumed	key.keyboard.o:CONTROL	key.keyboard.o:CONTROL	Change Radial Mining Mode	Изменить режим радиальной добычи
key.armorhider.open_settings	armor_hider	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Armor Hider - Settings	
key.armorhider.preset	armor_hider	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Armor Hider - Load Preset	
key.armorhider.toggle_keybind	armor_hider	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Armor Hider - Toggle	
key.ars_additions.open_lectern	ars_additions	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	[Ars Additions] Activate Warp Index	
key.ars_elemental.open_pouch	ars_elemental	UNIVERSAL	assumed	key.keyboard.j	key.keyboard.j	[Elemental] Open trinkets pouch	[Элементаль] Открыть мешочек для безделушек
key.ars_nouveau.familiar_toggle	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Summon/Dispel Familiar	Призвать/рассеять фамильяра
key.ars_nouveau.head_curio_hotkey	ars_nouveau	UNIVERSAL	assumed	key.keyboard.g	key.keyboard.g	Head Curio Menu	Главное меню Curio
key.ars_nouveau.next_slot	ars_nouveau	UNIVERSAL	assumed	key.keyboard.x	key.keyboard.x	(Spell Book) Next Slot	(Книга заклинаний) След. слот
key.ars_nouveau.open_book	ars_nouveau	UNIVERSAL	assumed	key.keyboard.c	key.keyboard.c	(Spell Book) Open Book	(Книга заклинаний) Откр. книгу
key.ars_nouveau.open_documentation	ars_nouveau	UNIVERSAL	assumed	key.keyboard.left.control	key.keyboard.left.control	Open Documentation	
key.ars_nouveau.previous_slot	ars_nouveau	UNIVERSAL	assumed	key.keyboard.z	key.keyboard.z	(Spell Book) Previous Slot	(Книга заклинаний) Пред. слот
key.ars_nouveau.qc1	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 01	Слот быстрого каста 01
key.ars_nouveau.qc10	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 10	Слот быстрого каста 10
key.ars_nouveau.qc2	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 02	Слот быстрого каста 02
key.ars_nouveau.qc3	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 03	Слот быстрого каста 03
key.ars_nouveau.qc4	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 04	Слот быстрого каста 04
key.ars_nouveau.qc5	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 05	Слот быстрого каста 05
key.ars_nouveau.qc6	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 06	Слот быстрого каста 06
key.ars_nouveau.qc7	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 07	Слот быстрого каста 07
key.ars_nouveau.qc8	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 08	Слот быстрого каста 08
key.ars_nouveau.qc9	ars_nouveau	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 09	Слот быстрого каста 09
key.ars_nouveau.selection_hud	ars_nouveau	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Toggle Selection HUD	Перекл. HUD
key.attack	minecraft	UNIVERSAL	assumed	key.mouse.left	key.mouse.left		
key.back	minecraft	UNIVERSAL	assumed	key.keyboard.s	key.keyboard.s		
key.bankstorage.cyclebuildmode	bankstorage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Cycle build mode	
key.bankstorage.enablescroll	bankstorage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Enable block selection scroll	
key.bankstorage.lockslot	bankstorage	GUI	bytecode	key.keyboard.left.alt	key.keyboard.left.alt	Filter Slot	
key.bankstorage.openbankfromkeybind	bankstorage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Open bank	
key.bankstorage.togglebuildmode	bankstorage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Toggle build mode	
key.bankstorage.togglepickupmode	bankstorage	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Toggle pickup mode	
key.betterblockz.cycle_pillar_axis	betterblockz	UNIVERSAL	assumed		key.keyboard.r	BlockZ Cycler Pillar Axis Toggle	
key.betterblockz.scroll_modifier	betterblockz	UNIVERSAL	assumed		key.keyboard.left.alt	BlockZ Mouse Scroll Modifier	
key.betterblockz.switch	betterblockz	UNIVERSAL	assumed		key.keyboard.v	Switch BlockZ Variant Screen	
key.blockprints.cancel_selection	blockprints	UNIVERSAL	assumed	key.keyboard.backspace	key.keyboard.backspace	Cancel Selection	
key.blockprints.confirm_selection	blockprints	UNIVERSAL	assumed	key.keyboard.enter	key.keyboard.enter	Confirm Selection	
key.blockprints.open_menu	blockprints	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Menu	
key.blockprints.tool_menu	blockprints	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.left.alt		
key.bridgingmod.toggle_bridging	bridgingmod	UNIVERSAL	assumed	key.keyboard.comma	key.keyboard.comma	Toggle Reacharound Placement	Переключить размещение с обходом
key.buildinggadgets2.anchor	buildinggadgets2	UNIVERSAL	assumed	key.keyboard.h	key.keyboard.h	Anchor	
key.buildinggadgets2.range	buildinggadgets2	UNIVERSAL	assumed	key.keyboard.r	key.keyboard.r	Range	
key.buildinggadgets2.settings_menu	buildinggadgets2	UNIVERSAL	assumed	key.keyboard.g	key.keyboard.g	Settings Menu	
key.buildinggadgets2.undo	buildinggadgets2	UNIVERSAL	assumed	key.keyboard.u	key.keyboard.u	Undo	
key.calmtheleaks.panel	calmtheleaks	IN_GAME	bytecode		key.keyboard.f8	Open Calm The Leaks diagnostics	
key.cataclysm.ability	cataclysm	UNIVERSAL	assumed	key.keyboard.x	key.keyboard.v	Cataclysm Ability	Способности Cataclysm
key.cataclysm.boots_ability	cataclysm	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Cataclysm Boots Ability	Способности ботинков Cataclysm
key.cataclysm.chestplate_ability	cataclysm	UNIVERSAL	assumed	key.keyboard.y	key.keyboard.y	Cataclysm Chestplate Ability	Способности поножи Cataclysm
key.cataclysm.helmet_ability	cataclysm	UNIVERSAL	assumed	key.keyboard.c	key.keyboard.c	Cataclysm Helmet Ability	Способности шлема Cataclysm
key.changeMysticCode	mahoutsukai	UNIVERSAL	assumed	key.keyboard.y	key.keyboard.y	Change Mystic Code	Сменить Мистический код
key.chat	minecraft	UNIVERSAL	assumed	key.keyboard.t	key.keyboard.t		
key.clienttweaks.disableLogStripping	clienttweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Log Stripping	Включить зачистку журнала
key.clienttweaks.disableStepAssist	clienttweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Disable Step Assist	Отключить пошаговую помощь
key.clienttweaks.hideHands	clienttweaks	UNIVERSAL	assumed		key.keyboard.unknown	Toggle Hide Hands	
key.clienttweaks.hideOffhandItem	clienttweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Hide Offhand Item	Переключить скрытие предмета для второй руки
key.clienttweaks.mineSingleBlock	clienttweaks	UNIVERSAL	assumed		key.keyboard.unknown	Mine Single Block	
key.command	minecraft	UNIVERSAL	assumed	key.keyboard.slash	key.keyboard.slash		
key.configured.open_mod_list	configured	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Mod List	Open Mod List
key.constructionstick.change_direction	constructionstick	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Direction	Переключить направление
key.constructionstick.change_restriction	constructionstick	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Restriction	Переключить ограничение
key.constructionstick.change_upgrade	constructionstick	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Upgrade	Переключить улучшение
key.constructionstick.open_gui	constructionstick	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Stick Options	Открыть настройки палочки
key.constructionstick.show_previous	constructionstick	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Show Previous	Показать предыдущее
key.constructionstick.toggle_random	constructionstick	UNIVERSAL	assumed		key.keyboard.unknown	Toggle Random	
key.constructionstick.undo	constructionstick	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Undo Operation	Отменить операцию
key.craftingtweaks.balance	craftingtweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Balance Grid	Распределить по сетке
key.craftingtweaks.clear	craftingtweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Clear Grid	Очистить сетку
key.craftingtweaks.compress_all	craftingtweaks	UNIVERSAL	assumed	key.keyboard.k:SHIFT	key.keyboard.k:SHIFT	Compress All	Совместить всё
key.craftingtweaks.compress_one	craftingtweaks	UNIVERSAL	assumed	key.keyboard.k:CONTROL	key.keyboard.k:CONTROL	Compress Item	Совместить предмет
key.craftingtweaks.compress_stack	craftingtweaks	UNIVERSAL	assumed	key.keyboard.k	key.keyboard.k	Compress Stack	Совместить стак
key.craftingtweaks.decompress_all	craftingtweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Decompress All	Разложить всё
key.craftingtweaks.decompress_one	craftingtweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Decompress Item	Разложить предмет
key.craftingtweaks.decompress_stack	craftingtweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Decompress Stack	Разложить стак
key.craftingtweaks.force_clear	craftingtweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Force Clear Grid	Принудительно очистить сетку
key.craftingtweaks.refill_last	craftingtweaks	UNIVERSAL	assumed	key.keyboard.tab:CONTROL	key.keyboard.tab:CONTROL	Refill Last	Пополнить последний
key.craftingtweaks.refill_last_stack	craftingtweaks	UNIVERSAL	assumed	key.keyboard.tab	key.keyboard.tab	Refill Last Stack	Пополнить последний (Стак)
key.craftingtweaks.rotate	craftingtweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Rotate Grid	Повернуть сетку
key.craftingtweaks.rotate_counter_clockwise	craftingtweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Rotate Grid (CCW)	Повернуть сетку (Против ЧС)
key.craftingtweaks.spread	craftingtweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Spread Grid	Разбросать по сетке
key.craftingtweaks.transfer_stack	craftingtweaks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Transfer to Crafting Grid	
key.crawl	crawl	UNIVERSAL	assumed	key.keyboard.c	key.keyboard.c	Crawl	Ползти
key.crystalix.apply_colorless	crystalix	UNIVERSAL	assumed	key.keyboard.left.control	key.keyboard.left.control	Apply Colorless	
key.crystalix.copy_properties	crystalix	UNIVERSAL	assumed	key.keyboard.x	key.keyboard.x	Copy Properties	
key.crystalix.wand_config	crystalix	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Open Wand Config	Открыть настройки посоха
key.curios.open.desc	curios	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.g	Open/Close Curios Inventory	Открыть/Закрыть инвентарь Curios
key.customfov.profile.desc	customfov	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Switch FOV Profile	
key.cycle_stone_generator.desc	deepnullreforged	UNIVERSAL	assumed		key.keyboard.unknown	Cycle DampNull stone type	
key.deep_aether.slider_eye_ability	deep_aether	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.left.alt	Activate Slider Slam	
key.deep_aether.stratus_dash_ability.desc	deep_aether	UNIVERSAL	assumed	key.keyboard.r	key.keyboard.r	Activate Stratus Dash	
